"","coef","param","sort","mean","lb","ub","rhat"
"1072","beta.R[1]","beta.R[1]",22,0.107919659725362,0.101981847441249,0.113880507436693,1.00221057658488
"1083","beta.R[2]","beta.R[2]",23,0.58562384607236,0.579800680936009,0.591575928031069,1.00076049084997
"1086","beta.R[3]","beta.R[3]",24,0.599837685851139,0.59410571551005,0.605715015347412,1.00112880099871
"1087","beta.R[4]","beta.R[4]",25,0.624524943381154,0.618922550414237,0.630091714727571,1.00010451626549
"1088","beta.R[5]","beta.R[5]",26,0.598004156756234,0.592287886353917,0.603541949134056,1.00018553733616
"1089","beta.R[6]","beta.R[6]",27,0.56775493733961,0.562106901413705,0.573262693262984,1.00024739793262
"1090","beta.R[7]","beta.R[7]",28,0.529381656817971,0.523711556826355,0.535060442662441,1.00053027428324
"1091","beta.R[8]","beta.R[8]",29,0.495638722647235,0.490085897313391,0.501225815463086,1.00003720275
"1092","beta.R[9]","beta.R[9]",30,0.487264275464452,0.481631165758408,0.492996631668904,0.999909959520151
"1073","beta.R[10]","beta.R[10]",31,0.491339422565213,0.48548474976797,0.496919321190854,0.999611476963191
"1074","beta.R[11]","beta.R[11]",32,0.472258851587536,0.46646298171403,0.477955883729365,0.999805162209365
"1075","beta.R[12]","beta.R[12]",33,0.460114004078039,0.454412100701875,0.465938016471087,1.00005297824585
"1076","beta.R[13]","beta.R[13]",34,0.467917711147628,0.462196561428216,0.473716525640632,1.00102599045382
"1077","beta.R[14]","beta.R[14]",35,0.460350393623233,0.454490046730138,0.466022571274744,0.999738970479442
"1078","beta.R[15]","beta.R[15]",36,0.45816002417234,0.452533649627979,0.463916117484995,1.00005427592872
"1079","beta.R[16]","beta.R[16]",37,0.452667784130916,0.446995644319061,0.45839379476936,1.00095324510898
"1080","beta.R[17]","beta.R[17]",38,0.454543995899464,0.448577820766201,0.460609259652566,1.00054281670032
"1081","beta.R[18]","beta.R[18]",39,0.455166370107734,0.449181205622293,0.461350027771002,1.00052141398129
"1082","beta.R[19]","beta.R[19]",40,0.458913623462544,0.452574593597643,0.464982993318515,1.00154256798203
"1084","beta.R[20]","beta.R[20]",41,0.52856555035882,0.523471049616034,0.533608554540657,1.0004632068476
"1085","beta.R[21]","beta.R[21]",42,0.43119967505738,0.425454106477952,0.43714576456554,1.0029035639223
"1","b[1,1]","b[1,CA]",43,0.0453435895360247,0.0159637390649491,0.0742827190566461,1.00156545850667
"551","b[2,1]","b[2,CA]",44,-0.0967806660612754,-0.124215547203451,-0.0699804522672249,1.00079048552988
"701","b[3,1]","b[3,CA]",45,-0.184281033425663,-0.21199664271619,-0.15689989326883,1.00009852690009
"751","b[4,1]","b[4,CA]",46,-0.18837009881613,-0.214641484245176,-0.161989903581483,1.00022286409825
"801","b[5,1]","b[5,CA]",47,-0.134288110718354,-0.162259814151716,-0.107455378966995,1.00127555093355
"851","b[6,1]","b[6,CA]",48,-0.172982396270799,-0.198943426625894,-0.146295813673837,1.00105535918332
"901","b[7,1]","b[7,CA]",49,-0.0544325911155747,-0.0818919662721007,-0.0270769464114283,1.00050816740572
"951","b[8,1]","b[8,CA]",50,-0.225534770891751,-0.252992235534644,-0.199272962152395,1.00028575790378
"1001","b[9,1]","b[9,CA]",51,-0.00926813570248337,-0.0363232726827963,0.0177875173656342,1.00005250153635
"51","b[10,1]","b[10,CA]",52,-0.0694421818046558,-0.0970108378590183,-0.0430114388315739,0.999739609293204
"101","b[11,1]","b[11,CA]",53,-0.092991073706681,-0.118978341161919,-0.0662649083187816,0.999773127290005
"151","b[12,1]","b[12,CA]",54,-0.0907814254841296,-0.116088797114479,-0.0648106036985425,1.00048406678895
"201","b[13,1]","b[13,CA]",55,-0.08325545381978,-0.108598325385653,-0.0569654893122075,0.999864967007121
"251","b[14,1]","b[14,CA]",56,-0.131519436481296,-0.157534075128798,-0.105197734176608,1.00064233331716
"301","b[15,1]","b[15,CA]",57,-0.136108263524522,-0.162816488480539,-0.109529722984697,1.00011411377609
"351","b[16,1]","b[16,CA]",58,-0.115475110801504,-0.141355096889429,-0.0896347369894151,1.00065152475496
"401","b[17,1]","b[17,CA]",59,-0.109598567938214,-0.135874784615268,-0.0837983978350639,1.00249974915308
"451","b[18,1]","b[18,CA]",60,-0.128796858924285,-0.156880111376599,-0.101354324952506,1.00019136098967
"501","b[19,1]","b[19,CA]",61,-0.0948525777768968,-0.122136762351371,-0.0672982293228127,1.00099652443492
"601","b[20,1]","b[20,CA]",62,-0.058653149627962,-0.0841539192593715,-0.0314306612871697,1.00027438430765
"651","b[21,1]","b[21,CA]",63,-0.0951269640580961,-0.123894740505142,-0.0666084125959504,1.00021933508846
"12","b[1,2]","b[1,CO]",64,-0.166888881889667,-0.195677010391219,-0.137807381593832,1.00053528045647
"562","b[2,2]","b[2,CO]",65,0.152658769812669,0.123660588619298,0.181482041124225,1.00166254972339
"712","b[3,2]","b[3,CO]",66,0.141870019905934,0.113891214389385,0.169746252611408,1.00129663687836
"762","b[4,2]","b[4,CO]",67,0.161604945274437,0.134928302778946,0.188941957555653,0.999921238139043
"812","b[5,2]","b[5,CO]",68,0.206870430494864,0.180093338783273,0.234110523917139,1.00019481646974
"862","b[6,2]","b[6,CO]",69,0.117423956939916,0.0907972137729607,0.143950239540428,0.999723165027872
"912","b[7,2]","b[7,CO]",70,0.0162536044503079,-0.0108279504267077,0.0434975741003151,0.99986950633034
"962","b[8,2]","b[8,CO]",71,-0.0952824624966746,-0.123384929114852,-0.0676517964344646,1.00038661448162
